question,answer
"What is Starkli?","A CLI tool for interacting with Starknet."
"What is Scarb?","Cairo’s package manager that compiles code to Sierra."
"What is Sierra ?","A mid-level language between Cairo and CASM."
"What is Katana?","A Starknet node, built for local development."
"How can Starkli be installed?","Using Starkliup, an installer invoked through the command line."
"What is the command to install Starkli?","curl https://get.starkli.sh | sh"
"What should be done after installing Starkli?","Restart your terminal and confirm installation."
"How do you check Starkli's version?","By running the command starkli --version."
"How can Starkli be upgraded?","By repeating the installation steps."
"Which operating systems are covered for Scarb installation?","macOS and Linux."
"What is the installation command for Scarb on macOS and Linux?","curl --proto '=https' --tlsv1.2 -sSf https://docs.swmansion.com/scarb/install.sh | sh"
"What should Windows users do to install Scarb?","Follow manual setup in the Scarb documentation."
"How do you verify Scarb installation?","Run scarb --version after restarting the terminal."
"How is Scarb upgraded?","By rerunning the installation command."
"What installer is used for Katana Node?","The dojoup installer."
"What is the command to install Katana Node?","curl -L https://install.dojoengine.org | bash"
"How do you confirm Katana Node installation?","By running katana --version after restarting the terminal."
"How is Katana Node upgraded?","By rerunning the installation command."
"What is the purpose of installing these tools?","To code in Cairo and deploy to Starknet."
"What is the role of Starkli in development?","It facilitates interaction with Starknet."
"What language is Sierra related to?","Cairo."
"What does the command 'starkliup' do?","It installs Starkli."
"What is the first step in Starkli installation?","Running the curl command for Starkli."
"Is a restart required after installing Starkli?","Yes, restart your terminal."
"Can Starkli be upgraded easily?","Yes, by repeating the installation steps."
"What is Scarb's primary function?","As a package manager for Cairo."
"Is Scarb compatible with Windows?","Yes, but requires manual setup."
"What confirms a successful Scarb installation?","Running scarb --version."
"What is the primary use of Katana?","As a Starknet node for development."
"Is a special installer used for Katana?","Yes, the dojoup installer."
"What is the verification step after Katana installation?","Running katana --version."
"What is the common method to upgrade these tools?","Rerunning the installation commands."
"Are these tools relevant for blockchain development?","Yes, for coding in Cairo and deploying to Starknet."
"What language does Scarb work with?","Cairo."
"What is Starknet?","A platform or network for which Starkli is used."
"Is Starkli a graphical interface tool?","No, it's a CLI (Command Line Interface) tool."
"Can Scarb compile code directly to CASM?","No, it compiles to Sierra, a mid-level language."
"What makes Katana unique among these tools?","It's specifically a Starknet node for local development."
"Does the installation of Starkli require internet access?","Yes, to run the curl command."
"Is Starkliup a separate software for installation?","No, it's a part of the Starkli installation process."
"How is Scarb different from Katana?","Scarb is a package manager, while Katana is a node."
"What language is used for code deployment on Starknet?","Cairo."
"Is knowledge of CASM required to use these tools?","No, Sierra acts as a mid-level language."
"Is Starkli specific to any operating system?","No specific mention is made of OS restrictions."
"What step follows running the curl command for Scarb?","Restart the terminal."
"Is manual setup for Scarb typical on Windows?","Yes, as per the documentation."
"Does Katana installation involve running a script from the internet?","Yes, using a curl command."
