question,answer
"What is the primary limitation of arrays in Cairo?","The data stored in arrays is immutable."
"What data structure in Cairo allows simulation of mutable data structures?","Felt252Dict<T>"
"What can you not do with an array once a value is appended?","You can't modify it."
"In the context of a game, why might one use a mutable data structure?","To store and modify the level of the players."
"How would you initialize an empty array of player levels in Cairo?","let mut level_players = Array::new();"
"Can you remove an element from an array at any position in Cairo?","No, you can only remove it if it is in the first position."
"What should a mutable dynamic array support according?","Append items at the end, access any item by index, set the value of an item at a specific index, and return the current length."
"How is the blueprint for the dynamic array implementation defined?","Using the trait VecTrait<V, T> in Cairo."
"How is the VecTrait in Cairo similar to another data structure?","It is similar to the Vec<T> data structure in Rust."
"What does the Felt252Dict<T> in Cairo map?","It maps index numbers (felts) to values."
"Why is the type T wrapped inside a Nullable pointer in the struct?","To allow using any type T in the data structure."
"How do you update a value at a specific index in the NullableVec<T> structure?","Using the set method that inserts a new value into the dictionary at the specified index."
"How is the vector made mutable in the provided implementation?","By inserting values into the dictionary to set or update values."
"What is the primary use of dictionaries in this context?","They provide the flexibility needed for modifiable data structures like vectors."
"How is the length of the vector tracked?","Using a separate len field."
"How do you create a new instance of NullableVec<T>?","Using the new method which initializes data to default and len to 0."
"What happens when you push a value to the vector?","The value is inserted at the current length index and the length is increased by one."
"What is asserted before setting a value at a specific index in the vector?","That the index is less than the current length of the vector."
"How do you obtain the length of the vector?","Using the len method."
"Where can the full implementation of the Vec structure be found?","In the community-maintained library Alexandria."
"What keyword is used to define a blueprint for functionalities in Cairo?","trait"
"What error message is given if an index is out of bounds when accessing the vector?","'Index out of bounds'"
"What is the primary difference between arrays and dictionaries in Cairo regarding mutability?","While arrays are immutable, dictionaries are mutable."
"What keyword in Cairo is used to specify that a data type can be changed?","mut"
"How do you append a value of 5 to the level_players array?","level_players.append(5);"
"How does the get method behave when the provided index is less than the vector's length?","It returns the value at that index."
"How does the get method behave when the provided index is greater than or equal to the vector's length?","It returns Option::None."
"How does the at method behave?","It fetches the value at the provided index, asserting that the index is within bounds."
"Why might you use a dictionary type in Cairo over an array?","To simulate the behavior of mutable data structures."
"How is the VecTrait in Cairo defined?","It is defined using the trait keyword with methods like new, get, at, push, set, and len."
"How do you assert a condition in Cairo?","Using the assert function."
"How do you increase the length of the vector by one?","Using the statement self.len = integer::u32_wrapping_add(self.len, 1_usize);."
"How is the data stored inside the NullableVec<T> structure?","Using a Felt252Dict<Nullable<T>> named data."
"Which method overwrites an existing value at a specific index in the vector?","The set method."
"What do you use to dereference the data from the dictionary in Cairo?","The deref() method."
"What type of error will be thrown if an out-of-bounds index is accessed in the vector?","A runtime error with the message 'Index out of bounds'."
"What method allows us to fetch an item without asserting for its presence?","The get method."
"How do you convert a value into its nullable form in Cairo?","Using the nullable_from_box function."
"How do you insert a new value into the Felt252Dict?","Using the insert method."
"How do you ensure that the data structure can handle any type T?","By wrapping the type T inside a Nullable pointer."
"What operation allows us to simulate mutable behavior with dictionaries?","The insert operation."
"In which library can one find the full implementation of the Vec structure?","Alexandria."
"What happens to the data in an array in Cairo once it's set?","It becomes immutable and can't be modified."
"How do you create a new box with a specific value in Cairo?","Using the BoxTrait::new(value) method."
"How do you convert an index to the appropriate data type before using it with the dictionary?","Using the into() method."
"How is the current length of the vector returned in the interface definition?","Using the fn len(self: @V) -> usize; method definition."
