question,answer
"What are the benefits of Dojo Metadata?","It enables external services to easily index and distribute worlds and experiences built on them."
"How is Dojo Metadata managed during migration?","sozo automatically manages the worlds metadata for you, uploading it to ipfs and setting it in the world contract."
"What is the process of setting a Dojo world's metadata?","Create a Scarb.toml file with the tool.dojo.world section and include attributes like name, description, icon_uri, and others. "
"What attributes does the toolchain support by default?","name, description, icon_uri, cover_uri, website and socials. "
"How can _uri attributes be specified?","They can point to a asset in the repo using the file:// schema or to remote resouces using either ipfs:// or https://. "
"How can arbitrary social links be set?","By setting a key value on the socials attribute, for example, socials.github = ..."
"What happens to local assets during sozo migration?","sozo will upload any local assets to ipfs."
"What happens to uris during sozo migration?","sozo will replace the corresponding uris."
"What happens to the metadata json during sozo migration?","sozo will upload the metadata json to ipfs."
"What happens to the metadata_uri for the world during sozo migration?","sozo will set the metadata_uri for the world (resource 0)."
"In Dojo, What is the Scarb.toml file used for?","To set a Dojo world's metadata."
"In Dojo,cWhat section should be created in the Scarb.toml file?","tool.dojo.world."
"In dojo, What attributes can be included in the Scarb.toml file?","name, description, icon_uri, cover_uri, website, and socials."
"What does sozo do during migration?","It automatically manages the worlds metadata for you, uploading it to ipfs and setting it in the world contract."
"Where does sozo get the metadata from?","It parses the metadata defined in the projects Scarb.toml."
"Give a sample toml file to set a Dojo worlds metadata ","
[tool.dojo.world]
name = 'example'
description = 'example world'
icon_uri = 'file://assets/icon.png'
cover_uri = 'file://assets/cover.png'
website = 'https://dojoengine.org'
socials.x = 'https://twitter.com/dojostarknet'
"
"What advantages does Dojo Metadata offer?","Dojo Metadata facilitates the easy indexing and distribution of worlds and experiences developed on them by external services."
"How is Dojo Metadata handled during migration?","During migration, sozo autonomously manages the world's metadata, uploading it to IPFS and setting it in the world contract."
"What is the procedure to establish metadata for a Dojo world?","To set metadata for a Dojo world, create a Scarb.toml file with the tool.dojo.world section, including attributes like name, description, icon_uri, among others."
"What default attributes does the toolchain support?","By default, the toolchain supports attributes like name, description, icon_uri, cover_uri, website, and socials."
"How should _uri attributes be defined?","_uri attributes can be specified to point to assets in the repository using the file:// scheme or to external resources using ipfs:// or https://."
"How can one add custom social links?","Custom social links can be added by setting key-value pairs in the socials attribute, for example, socials.github = '...'."
"What happens to local assets during sozo's migration process?","During migration, sozo uploads any local assets to IPFS."
"How are URIs treated in sozo's migration process?","In the migration process, sozo replaces the corresponding URIs as needed."
"What does sozo do with the metadata JSON file during migration?","sozo uploads the metadata JSON file to IPFS during the migration process."
"How is the metadata_uri for the world set during sozo migration?","During migration, sozo sets the metadata_uri for the world (resource 0)."
"What is the purpose of the Scarb.toml file in Dojo?","The Scarb.toml file is used to define a Dojo world's metadata."
"What section should be included in the Scarb.toml file for Dojo?","For Dojo, a 'tool.dojo.world' section should be created in the Scarb.toml file."
"What kind of information can be entered in the Scarb.toml file for Dojo?","In the Scarb.toml file, you can include attributes like name, description, icon_uri, cover_uri, website, and socials."
"What are sozo's actions during the migration process?","During migration, sozo manages the world's metadata, uploading to IPFS and setting it in the world contract."
"Where does sozo source the metadata from?","sozo sources the metadata from the project's Scarb.toml file."
